CustomerID,First_name,Last_name,Age,Gender,Country,City,Email,Phone,Signup_Date,Last_Purchase_Date,Total_Purchase_Amount,Num_Orders,Product_Category,Rating,Loyalty_Tier,Annual_Income,Discount_Used,Churn_Status
CUST094929,John,Brown II,39,F,UK,Christopherbury,pkirby@example.net,7087539740,2024-09-10 21:26:19.299793,2024-09-30 08:26:44.464044,495084.0,1050.0,Food,5.0,Platinum,22099.98,Yes,1
CUST062692,Paul,Lewis,22,F,USA,West Julian,susan24@example.net,4183783214,2022-10-05 13:45:54.351543,2023-02-19 09:01:28.452884,259197.0,330.0,Food,1.0,Bronze,50388.7,Yes,1
CUST049801,Amanda,Farmer,46,M,USA,Bakerstad,kelly82@example.com,8369920214,2021-12-27 03:05:37.935379,2022-06-28 20:31:20.514805,7875.0,690.0,Clothing,1.0,Silver,36724.89,No,1
CUST016670,Christine,Brown,33,F,USA,Kimberlystad,anthony44@example.net,0015049772928,2020-01-01 05:18:52.607326,2020-10-31 13:05:46.359463,451114.0,770.0,Clothing,3.0,Silver,131100.03,Yes,1
CUST047156,Julie,Knight,57,M,PK,New Alexis,carterpreston@example.net,5394713338,2021-10-30 04:13:59.384393,2022-05-11 12:43:52.202322,75752.0,220.0,Beauty,3.0,Gold,116423.93,No,0
CUST012176,James,Macias,65,M,UK,East Renee,,(840)6191680,2019-09-24 18:09:57.677976,2020-08-10 10:32:50.587705,433082.0,280.0,Electronics,3.0,Gold,66772.19,Yes,1
CUST042875,Richard,Martinez,26,M,UK,Morrismouth,,9228747714,2021-07-28 09:05:22.599226,2022-02-22 07:34:46.256862,274658.0,380.0,Books,2.0,Gold,24578.11,Yes,1
CUST075359,Dale,Stewart,67,F,UK,West Christystad,danielmcdonald@example.net,0017925528017,2023-07-10 02:38:49.151291,2023-10-08 19:18:22.583025,155578.0,30.0,Beauty,5.0,Silver,140618.09,Yes,1
CUST051496,Jesse,Rodriguez,45,F,GB,Port Davidton,andersonphillip@example.com,3819877120,2022-02-02 06:24:05.702457,2022-07-29 19:45:12.231122,13783.0,680.0,Books,4.0,Bronze,103181.71,Yes,0
CUST035228,Gilbert,Carroll,40,M,UK,Riverafort,samuel21@example.net,(398)2948057,2021-02-10 19:57:03.310233,2021-10-05 14:29:21.929619,175605.0,330.0,Books,3.0,Bronze,130915.16,No,1
CUST045091,Wayne,Morales Jr.,18,F,UK,West Jenniferborough,dillon89@example.com,9364146295,2021-09-14 22:21:45.733057,2022-04-03 19:15:39.285392,149576.0,950.0,Electronics,2.0,Silver,87382.06,Yes,1
CUST044704,Brandon,Rivera,24,M,USA,Ericfurt,,(936)6280772,2021-09-06 10:51:38.118981,2022-03-27 17:34:02.840428,484801.0,200.0,Beauty,5.0,Silver,133905.54,No,0
CUST087007,Lisa,Foster,44,M,GB,Dominiqueshire,james33@example.org,6859623640,2024-03-21 07:41:33.204932,2024-05-08 14:46:20.595805,29303.0,290.0,Clothing,1.0,Bronze,94919.41,Yes,1
CUST047890,Gary,Elliott,23,F,USA,Hannahshire,whitneyadam@example.net,3398162904,2021-11-15 06:12:12.895328,2022-05-24 22:34:43.340833,166698.0,520.0,Books,5.0,Gold,83103.86,Yes,0
CUST069912,Daniel,Lloyd,24,M,USA,Taraville,mooreholly@example.net,5922227272,2023-03-12 18:22:04.309243,2023-07-01 06:52:54.583745,476047.0,430.0,Electronics,,Silver,135820.26,No,0
CUST041528,Morgan,Ford,23,F,PK,New Lauraport,wsantiago@example.com,(669)6153194,2021-06-28 20:46:33.771937,2022-01-28 16:56:27.777877,154265.0,320.0,Beauty,2.0,Bronze,164406.98,No,1
CUST019364,Joseph,Smith,52,F,GB,New Theresa,david62@example.net,+14608270614,2020-02-29 05:56:30.261902,2020-12-19 18:22:23.317433,89896.0,460.0,Clothing,2.0,Gold,124975.22,Yes,0
CUST044118,Anna,Clarke,51,M,UK,North Paulport,gibsonadam@example.net,0015954527332,2021-08-24 14:42:54.961749,2022-03-17 00:36:56.182161,179483.0,1000.0,Food,2.0,Bronze,147390.33,Yes,0
CUST062957,Gabriel,Gonzales,28,F,UK,Frosthaven,lisa72@example.org,(889)5863648,2022-10-11 09:06:50.728107,2023-02-24 05:13:22.556025,18888.0,210.0,Clothing,3.0,Silver,43687.19,No,1
CUST093922,Jocelyn,Norton,48,M,PK,West Rachelside,hartmatthew@example.org,0018868373635,2024-08-19 19:54:45.068850,2024-09-11 22:53:30.872108,435801.0,470.0,Beauty,5.0,Gold,,Yes,1
CUST056267,Dawn,Hoffman,44,M,UK,Emilyshire,andrew68@example.net,6923441020,2022-05-17 19:12:33.523535,2022-10-24 23:45:44.631446,68501.0,510.0,Books,,Platinum,21947.98,No,0
CUST058638,Kevin,Alvarez,55,F,PK,South Dana,rtorres@example.com,2583433049,2022-07-08 17:59:18.311583,2022-12-07 07:24:31.946719,46791.0,790.0,Electronics,2.0,Bronze,146537.94,No,0
CUST081809,Michelle,Terry,42,M,UK,Parkerstad,jamielopez@example.net,4575597690,2023-11-28 10:20:56.052560,2024-02-03 15:31:49.999099,367674.0,570.0,Clothing,1.0,Bronze,163406.42,Yes,1
CUST028540,Robert,Schmidt,57,F,USA,Davidbury,rclark@example.org,+12214979103,2020-09-17 07:05:52.191521,2021-06-05 09:54:21.092610,93092.0,10.0,Books,4.0,Silver,72120.81,Yes,0
CUST011864,Randy,Delgado,30,F,PK,North Cindy,charlesward@example.com,2938177903,2019-09-17 22:06:08.283682,2020-08-04 17:44:24.926649,129364.0,280.0,Electronics,1.0,Gold,182950.96,No,0
CUST039555,Casey,Love,47,M,USA,Robertberg,jennifererickson@example.net,7592333349,2021-05-16 15:17:00.070200,2021-12-23 15:48:40.889208,17668.0,1240.0,Beauty,5.0,Bronze,150702.47,No,0
CUST019230,Brandon,Wilkerson,52,F,PK,Jodiburgh,emills@example.org,(385)8422355,2020-02-26 07:28:42.509225,2020-12-17 07:36:58.450184,335805.0,860.0,Beauty,5.0,Bronze,41083.59,No,1
CUST080808,Matthew,Roberts,18,M,USA,Lake Jasmineside,maxwellchristopher@example.org,2126124278,2023-11-06 11:58:40.079200,2024-01-16 08:36:27.669876,139957.0,40.0,Books,4.0,Gold,97586.01,No,1
CUST073333,Amanda,Taylor,59,M,USA,East Jennifershire,alexiswebb@example.net,9352970504,2023-05-26 17:17:04.174241,2023-09-01 18:56:12.873728,260507.0,810.0,Books,1.0,Gold,96772.49,No,0
CUST005937,Larry,Cross,47,F,UK,Johnsonberg,buchanantroy@example.org,0012915869490,2019-05-11 01:25:02.835028,2020-04-18 10:50:35.910359,35773.0,1420.0,Electronics,1.0,Gold,144889.09,Yes,0
CUST082698,Benjamin,West,54,M,USA,Stephaniebury,james51@example.com,3068970806,2023-12-17 21:49:31.217712,2024-02-19 21:20:35.424354,239175.0,1330.0,Beauty,3.0,Bronze,84407.81,No,0
CUST021692,Cindy,Patrick,24,M,UK,Keithbury,stevengriffith@example.net,0012423632915,2020-04-20 06:06:34.203942,2021-01-31 07:09:53.249932,359424.0,1420.0,Electronics,3.0,Bronze,53295.17,Yes,0
CUST018857,Jessica,Mitchell DVM,62,M,PK,Mooremouth,carteralexander@example.org,(497)7490753,2020-02-18 03:20:17.496174,2020-12-10 12:03:41.618216,94647.0,660.0,Books,1.0,Bronze,55028.46,Yes,0
CUST013739,Andrea,Wilson,39,F,UK,Port Randy,boydnicholas@example.org,0013836597475,2019-10-29 00:03:43.778237,2020-09-07 23:53:54.524345,292244.0,970.0,Food,3.0,Silver,84269.62,Yes,0
CUST009166,Rhonda,Orozco,21,M,PK,Lake Gregory,amanda38@example.org,0015033516837,2019-07-20 19:22:18.457384,2020-06-16 10:42:33.793537,72026.0,1120.0,Clothing,1.0,Gold,193021.29,No,1
CUST070878,Kaitlyn,Jackson,19,M,USA,North Michelle,rlozano@example.com,(249)4330824,2023-04-02 22:20:03.780037,2023-07-18 22:27:27.880478,287632.0,1490.0,Clothing,1.0,Bronze,161801.38,Yes,1
CUST072804,Pamela,Edwards,40,F,PK,New Brittany,hesterevelyn@example.net,9776538618,2023-05-15 03:06:44.464044,2023-08-23 02:58:43.211232,194051.0,800.0,Food,2.0,Bronze,90970.78,No,1
CUST004772,Monica,Campbell,69,F,USA,Nathanstad,sbuck@example.com,9848399360,2019-04-15 12:48:27.821078,2020-03-28 04:00:32.400324,199809.0,790.0,Books,,Gold,59582.0,No,1
CUST053562,Theresa,Davis,59,F,USA,East Lauren,sarahmarquez@example.net,6177054953,2022-03-19 12:47:52.396723,2022-09-05 13:39:43.691836,65182.0,310.0,Clothing,,Bronze,126395.58,No,0
CUST043473,Jennifer,Walker,23,M,PK,West Sherry,rebeccalopez@example.com,7068412014,2021-08-10 11:32:42.271622,2022-03-05 05:47:35.440554,282809.0,560.0,Clothing,,Bronze,123643.75,No,1
CUST033686,William,Torres,43,F,PK,Scottmouth,kylie26@example.net,6317861191,2021-01-08 01:05:51.111511,2021-09-07 10:20:47.412474,218605.0,990.0,Food,2.0,Silver,196788.08,Yes,1
CUST039878,Matthew,Johnson,59,F,USA,Andersontown,alyssa02@example.net,+14448620853,2021-05-23 17:07:52.936729,2021-12-29 13:26:30.531905,198022.0,750.0,Food,5.0,Bronze,148083.16,No,0
CUST007124,Clinton,Miller,51,F,USA,North Melaniemouth,schneiderlisa@example.org,0016583696636,2019-06-06 01:35:44.793447,2020-05-10 03:19:27.383673,399323.0,840.0,Electronics,3.0,Bronze,44791.57,Yes,1
