CustomerID,Full_Name,Age,Gender,Country,City,Email,Phone,Signup_Date,Last_Purchase_Date,Total_Purchase_Amount,Num_Orders,Product_Category,Rating,Loyalty_Tier,Annual_Income,Discount_Used,Churn_Status
CUST094929,John Brown II,39.0,female,UK,Christopherbury,pkirby@example.net,708-753-9740x128,2024-09-10 21:26:19.299793,2024-09-30 08:26:44.464044,4950.84,105.0,Food,5.0,Platinum,22099.98,1,1
CUST062692,Paul Lewis,22.0,female,usa,West Julian,susan24@example.net,418-378-3214x791,2022-10-05 13:45:54.351543,2023-02-19 09:01:28.452884,2591.97,33.0,Food,1.0,Bronze,50388.7,yes,Churned
CUST049801,Amanda Farmer,-5.0,M,USA,Bakerstad,kelly82@example.com,836.992.0214,2021-12-27 03:05:37.935379,2022-06-28 20:31:20.514805,787.5,69.0,CLOTHING,1.0,silver,36724.89,No,1
CUST016670,Christine Brown,33.0,FEMALE,USA,Kimberlystad,anthony44@example.net,001-504-977-2928x51401,2020-01-01 05:18:52.607326,2020-10-31 13:05:46.359463,4511.14,77.0,Clothing,3.0,Silver,131100.03,True,Churned
CUST047156,Julie Knight,57.0,Male,PK,New Alexis,carterpreston@example.net,539-471-3338x94220,2021-10-30 04:13:59.384393,2022-05-11 12:43:52.202322,757.52,22.0,Beauty,3.0,Gold,116423.93,No,Active
CUST012176,James Macias,65.0,male,UK,East Renee,,(840)619-1680,2019-09-24 18:09:57.677976,2020-08-10 10:32:50.587705,4330.82,28.0,electronics,3.0,Gold,66772.19,YES,Churned
CUST042875,Richard Martinez,26.0,M,UK,Morrismouth,user@@domain.com,922.874.7714,2021-07-28 09:05:22.599226,2022-02-22 07:34:46.256862,2746.58,38.0,Books,2.0,GOLD,24578.11,True,churned
CUST075359,Dale Stewart,67.0,female,UK,West Christystad,danielmcdonald@example.net,001-792-552-8017x60477,2023-07-10 02:38:49.151291,2023-10-08 19:18:22.583025,1555.78,3.0,Beauty,5.0,silver,140618.09,1,churned
CUST051496,Jesse Rodriguez,45.0,F,GB,Port Davidton,andersonphillip@example.com,381.987.7120,2022-02-02 06:24:05.702457,2022-07-29 19:45:12.231122,1378.3,68.0,BOOKS,4.0,Bronze,103181.71,1,ACTIVE
CUST035228,Gilbert Carroll,40.0,M,UK,Riverafort,samuel21@example.net,(398)294-8057,2021-02-10 19:57:03.310233,2021-10-05 14:29:21.929619,1756.05,33.0,Books,3.0,Bronze,130915.16,no,1
CUST045091,Wayne Morales Jr.,18.0,F,uk,West Jenniferborough,dillon89@example.com,936.414.6295,2021-09-14 22:21:45.733057,2022-04-03 19:15:39.285392,1495.76,95.0,Electronics,2.0,Silver,87382.06,Yes,churned
CUST044704,Brandon Rivera,24.0,MALE,USA,Ericfurt,,(936)628-0772x3773,2021-09-06 10:51:38.118981,2022-03-27 17:34:02.840428,4848.01,20.0,Beauty,5.0,silver,133905.54,No,active
CUST087007,Lisa Foster,44.0,M,GB,Dominiqueshire,james33@example.org,685.962.3640,2024-03-21 07:41:33.204932,2024-05-08 14:46:20.595805,293.03,29.0,Clothing,1.0,bronze,94919.41,yes,1
CUST047890,Gary Elliott,23.0,female,USA,Hannahshire,whitneyadam@example.net,339-816-2904x70610,2021-11-15 06:12:12.895328,2022-05-24 22:34:43.340833,1666.98,52.0,Books,5.0,GOLD,83103.86,YES,active
CUST069912,Daniel Lloyd,24.0,M,USA,Taraville,mooreholly@example.net,592-222-7272,2023-03-12 18:22:04.309243,2023-07-01 06:52:54.583745,4760.47,43.0,electronics,,Silver,135820.26,NO,active
CUST041528,Morgan Ford,23.0,female,pakistan,New Lauraport,wsantiago@example.com,(669)615-3194x90577,2021-06-28 20:46:33.771937,2022-01-28 16:56:27.777877,1542.65,32.0,Beauty,2.0,bronze,164406.98,NO,Churned
CUST019364,Joseph Smith,52.0,FEMALE,GB,New Theresa,david62@example.net,+1-460-827-0614x14326,2020-02-29 05:56:30.261902,2020-12-19 18:22:23.317433,898.96,46.0,CLOTHING,2.0,Gold,124975.22,1,active
CUST044118,Anna Clarke,51.0,male,United Kingdom,North Paulport,gibsonadam@example.net,001-595-452-7332x367,2021-08-24 14:42:54.961749,2022-03-17 00:36:56.182161,1794.83,100.0,food,2.0,Bronze,147390.33,1,active
CUST062957,Gabriel Gonzales,28.0,female,UK,Frosthaven,lisa72@example.org,(889)586-3648x0698,2022-10-11 09:06:50.728107,2023-02-24 05:13:22.556025,188.88,21.0,CLOTHING,3.0,silver,43687.19,NO,1
CUST093922,Jocelyn Norton,48.0,M,Pakistan,West Rachelside,hartmatthew@example.org,001-886-837-3635x50831,2024-08-19 19:54:45.068850,2024-09-11 22:53:30.872108,4358.01,47.0,Beauty,5.0,GOLD,,YES,Churned
CUST056267,Dawn Hoffman,44.0,Male,uk,Emilyshire,andrew68@example.net,692.344.1020,2022-05-17 19:12:33.523535,2022-10-24 23:45:44.631446,685.01,51.0,BOOKS,,Platinum,21947.98,no,ACTIVE
CUST058638,Kevin Alvarez,55.0,FEMALE,pakistan,South Dana,rtorres@example.com,2583433049,2022-07-08 17:59:18.311583,2022-12-07 07:24:31.946719,467.91,79.0,electronics,2.0,Bronze,146537.94,No,0
CUST081809,Michelle Terry,42.0,male,United Kingdom,Parkerstad,jamielopez@example.net,457-559-7690x8549,2023-11-28 10:20:56.052560,2024-02-03 15:31:49.999099,3676.74,57.0,CLOTHING,1.0,bronze,163406.42,yes,1
CUST028540,Robert Schmidt,57.0,FEMALE,United States,Davidbury,rclark@example.org,+1-221-497-9103,2020-09-17 07:05:52.191521,2021-06-05 09:54:21.092610,930.92,1.0,Books,4.0,silver,72120.81,True,Active
CUST011864,Randy Delgado,30.0,FEMALE,PK,North Cindy,charlesward@example.com,293.817.7903,2019-09-17 22:06:08.283682,2020-08-04 17:44:24.926649,1293.64,28.0,Electronics,1.0,GOLD,182950.96,False,ACTIVE
CUST039555,Casey Love,47.0,Male,USA,Robertberg,jennifererickson@example.net,759.233.3349,2021-05-16 15:17:00.070200,2021-12-23 15:48:40.889208,176.68,124.0,Beauty,5.0,bronze,150702.47,0,active
CUST019230,Brandon Wilkerson,52.0,female,Pakistan,Jodiburgh,emills@example.org,(385)842-2355,2020-02-26 07:28:42.509225,2020-12-17 07:36:58.450184,3358.05,86.0,Beauty,5.0,bronze,41083.59,0,1
CUST080808,Matthew Roberts,18.0,male,United States,Lake Jasmineside,maxwellchristopher@example.org,212-612-4278x9571,2023-11-06 11:58:40.079200,2024-01-16 08:36:27.669876,1399.57,4.0,Books,4.0,Gold,97586.01,no,Churned
CUST073333,Amanda Taylor,59.0,MALE,usa,East Jennifershire,alexiswebb@example.net,935.297.0504,2023-05-26 17:17:04.174241,2023-09-01 18:56:12.873728,2605.07,81.0,BOOKS,1.0,Gold,96772.49,No,0
CUST005937,Larry Cross,47.0,F,United Kingdom,Johnsonberg,buchanantroy@example.org,001-291-586-9490x444,2019-05-11 01:25:02.835028,2020-04-18 10:50:35.910359,357.73,142.0,electronics,1.0,GOLD,144889.09,YES,Active
